IDtrajet,Tags,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Client,Véhicule,Distance / Durée,Devis,Prix,Actions,Départ_Pays,Départ_Latitude,Départ_Longitude,Arrivé_Pays,Arrivé_Latitude,Arrivé_Longitude
734092,aller,Castelnau-d'estrétefonds (FR31),Nîmes (FR30),14/03/2024 à 09:00,14/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,314 km03h15,6+,~ 62€ PRESTATION,Accéder,FR31),43.78251,1.3590892,,43.8374249,4.3600687
734082,aller,Castelnau-d'estrétefonds (FR31),Nice (FR06),18/03/2024 à 09:00,18/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BerlineThermique,586 km05h45,6+,~ 89€ PRESTATION,Accéder,FR31),43.78251,1.3590892,,43.7009358,7.2683912
734066,aller,Miramas (FR13),Nîmes (FR30),13/03/2024 à 09:00,13/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,69 km01h00,6+,~ 36€ PRESTATION,Accéder,FR59),43.582733,5.0025809,,43.8374249,4.3600687
734045,aller,Villevêque (FR49),Châteauroux (FR36),12/03/2024 à 11:00,12/03/2024 à 17:00 Rdv 15:00-17:00,ARVAL RESTITUTION,BerlineThermique,226 km02h45,6+,~ 53€ PRESTATION,Accéder,FR13),47.5601026,-0.4230772,,46.8203785,1.6770956
734043,aller,Villevêque (FR49),Châteauroux (FR36),12/03/2024 à 11:00,12/03/2024 à 17:00 Rdv 15:00-17:00,ARVAL RESTITUTION,BerlineThermique,226 km02h45,0-2,~ 53€ PRESTATION,Accéder,FR31),47.5601026,-0.4230772,,46.8203785,1.6770956
733684,aller,Charenton-le-pont (FR94),Ruy-montceau (FR38),20/03/2024 à 10:00 Rdv 10:00-11:00,20/03/2024 à 18:00 Rdv 17:00-18:00,COFEPP,SuvThermique,520 km05h00,6+,~ 82€ PRESTATION,Accéder,FR17),48.8198479,2.4159508,,45.5884827,5.346999509653573
733495,,Ambarès-et-lagrave (FR33),Dijon (FR21),25/03/2024 à 09:55,26/03/2024 à 12:00 Rdv 10:00-12:00,ALD AUTOMOTIVE,CitadineThermique,640 km06h36,03-mai,~ 94€ PRESTATION,Se certifier au process client,,44.9259011,-0.4881846,,47.3215806,5.0414701
733010,,Ambérieu-en-bugey (FR01),Châtillon-en-bazois (FR58),12/03/2024 à 10:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL MOYENNE DUREE,BerlineThermique,248 km03h00,,155€ TOTAL,Se certifier au process client,,45.9584309,5.3595099,,47.0518049,3.6546552
733738,,Ambérieu-en-bugey (FR01),La seyne-sur-mer (FR83),13/03/2024 à 09:00,13/03/2024 à 16:00 Rdv 14:00-16:00,ALD AUTOMOTIVE,CitadineThermique,432 km04h13,6+,~ 74€ PRESTATION,Se certifier au process client,,45.9584309,5.3595099,,43.1007714,5.8788948
734434,,Ambérieu-en-bugey (FR01),Villeurbanne (FR69),28/03/2024 à 09:00,28/03/2024 à 11:00,EDEN AUTO - BORDEAUX,BreakThermique,53 km01h00,6+,~ 32€ PRESTATION,Se certifier au process client,,45.9584309,5.3595099,,45.7733573,4.8868454
734888,,Ambérieu-en-bugey (FR01),Saint-martin-du-fresne (FR01),08/04/2024 à 10:00,08/04/2024 à 17:00 Rdv 15:00-17:00,ARVAL MOYENNE DUREE,BerlineThermique,41 km00h45,,52€ TOTAL,Se certifier au process client,,45.9584309,5.3595099,,46.135646,5.551392
734833,,Annecy (FR74),Annecy (FR74),15/03/2024 à 09:00,15/03/2024 à 09:30,ALD AUTOMOTIVE,CitadineHybride,5 km00h15,0-2,~ 21€ PRESTATION,Se certifier au process client,,45.8992348,6.1288847,,45.8992348,6.1288847
734834,,Annecy (FR74),Annecy (FR74),15/03/2024 à 16:00,15/03/2024 à 17:00,ALD AUTOMOTIVE,CitadineHybride,5 km00h15,0-2,~ 21€ PRESTATION,Se certifier au process client,,45.8992348,6.1288847,,45.8992348,6.1288847
734407,,Antibes (FR06),Manosque (FR04),11/03/2024 à 08:30,11/03/2024 à 17:30 Rdv 11:00-17:30,CHOPARD,BerlineThermique,180 km02h15,,149€ TOTAL,Se certifier au service complémentaire,,43.5812868,7.1262071,,43.8338026,5.7826657
733424,,Aubagne (FR13),Augny (FR57),12/03/2024 à 11:00,13/03/2024 à 11:00,ALD AUTOMOTIVE,6m3Thermique,780 km07h29,6+,~ 108€ PRESTATION,Se certifier au process client,,43.2924385,5.5703031,,49.0593685,6.1219209
733433,,Aubagne (FR13),Chassieu (FR69),13/03/2024 à 09:00,13/03/2024 à 14:00,ALD AUTOMOTIVE,6m3Thermique,338 km03h15,6+,~ 64€ PRESTATION,Se certifier au process client,,43.2924385,5.5703031,,45.7422756,4.9681796
734451,,Avrigny (FR60),Amfreville (FR14),12/03/2024 à 09:55,12/03/2024 à 16:00 Rdv 14:00-16:00,ALD AUTOMOTIVE,CitadineHybride,243 km03h05,,144€ TOTAL,Se certifier au process client,,49.3817833,2.57932,,49.2479604,-0.2345844
733797,,Avrigny (FR60),Les mureaux (FR78),18/03/2024 à 09:00,18/03/2024 à 16:00 Rdv 14:00-16:00,ALD AUTOMOTIVE,RoutièreThermique,116 km01h22,6+,~ 42€ PRESTATION,Se certifier au process client,,49.3817833,2.57932,,48.9931578,1.909928
732785,,Avrigny (FR60),Mont-saint-aignan (FR76),20/03/2024 à 09:00,20/03/2024 à 11:30,EDEN AUTO - BORDEAUX,BreakThermique,130 km02h00,6+,~ 43€ PRESTATION,Se certifier au process client,,49.3817833,2.57932,,49.4679,1.0813
732091,,Avrigny (FR60),Le havre (FR76),22/03/2024 à 09:00,22/03/2024 à 12:30,EDEN AUTO - BORDEAUX,BreakThermique,219 km03h00,6+,~ 67€ PRESTATION,Se certifier au process client,,49.3817833,2.57932,,49.4938975,0.1079732
734491,,Bassens (FR33),Colomiers (FR31),14/03/2024 à 10:00,14/03/2024 à 16:00 Rdv 14:00-16:00,STELLANTIS & YOU BUSINESS,BerlineThermique,257 km02h30,03-mai,~ 61€ PRESTATION,Se certifier au process client,,44.9015003,-0.5163222,,43.6121001,1.3282149
735037,,Bassens (FR33),Bordeaux (FR33),18/03/2024 à 09:00,18/03/2024 à 12:00 Rdv 10:00-12:00,CAT SUD OUEST,BerlineHybride,13 km00h30,,35€ TOTAL,Se certifier au service complémentaire,,44.9015003,-0.5163222,,44.841225,-0.5800364
